ano,densidade,id_municipio,sigla_uf,taxa_aprovacao
2009,0.22779929252819,2929305,BA,62.333333333333343
2007,0.031870048691410746,2913804,BA,62.355000000000004
2013,0.79627187475892325,2923308,BA,62.422222222222217
2009,0.0306967024761955,1502509,PA,62.466666666666661
2007,0.0215138172455245,2933505,BA,62.473684210526315
2007,0.085470669297637247,2703502,AL,62.475
2007,0.076555038090769745,1506609,PA,62.485
2007,0.070837551983968,2906303,BA,62.5125
2007,0.14716832130042,2932903,BA,62.55833333333333
2007,0.067487039817404,2404002,RN,62.560869565217388
2007,0.01159173175430955,1505205,PA,62.5625
2007,0.035674203841737,2913408,BA,62.580000000000005
2007,0.045660312900699662,2204550,PI,62.8
2007,0.048548679575816,2900405,BA,62.800000000000011
2007,0.080758602089316248,2513901,PB,62.818518518518516
2007,0.050400365109627747,2913507,BA,62.854545454545452
